frame_id,raw_red,raw_white,smooth_red,smooth_white,gk_yellow,gk_blue,total_detections
0,4,5,4,5,1,0,10
1,4,5,4,5,1,0,10
2,4,5,4,5,1,0,10
3,4,5,4,5,1,0,10
4,4,5,4,5,1,0,10
5,4,5,4,5,1,0,10
6,4,6,4,5,1,0,11
7,4,6,4,5,1,0,11
8,4,6,4,5,1,0,11
9,3,7,4,5,1,0,11
10,2,7,4,5,1,0,10
11,2,7,4,6,1,0,10
12,3,7,4,6,1,0,11
13,3,5,3,6,1,0,9
14,1,0,3,6,0,0,1
15,3,5,3,6,1,0,9
16,1,0,3,6,0,0,1
17,2,6,2,6,1,0,9
18,1,6,2,6,1,0,8
19,2,5,2,5,1,0,8
20,2,5,2,5,0,0,7
21,3,6,2,5,0,0,9
22,3,6,2,5,0,0,9
23,2,6,2,5,0,0,8
24,2,6,2,6,0,0,8
25,2,6,2,6,0,0,8
26,2,6,2,6,0,0,8
27,2,6,2,6,0,0,8
28,2,6,2,6,0,0,8
29,2,6,2,6,0,0,8
30,2,6,2,6,0,0,8
31,3,5,2,6,1,0,9
32,3,5,2,6,1,0,9
33,4,7,2,6,1,0,12
34,4,7,2,6,1,0,12
35,4,7,2,6,1,0,12
36,4,7,3,6,1,0,12
37,4,7,3,6,1,0,12
38,4,7,4,7,0,0,11
39,3,7,4,7,1,0,11
40,3,6,4,7,1,0,10
41,4,6,4,7,1,0,11
42,3,6,4,7,1,0,10
43,3,6,4,7,1,0,10
44,3,6,3,6,2,0,11
45,3,6,3,6,2,0,11
46,3,5,3,6,3,0,11
47,5,5,3,6,3,0,13
48,5,5,3,6,3,0,13
49,5,6,3,6,2,0,13
50,5,5,3,6,1,0,11
51,5,5,4,5,2,0,12
52,5,5,5,5,1,0,11
53,5,6,5,5,1,0,12
54,5,6,5,5,1,0,12
55,3,7,5,5,1,0,11
56,4,6,5,5,1,0,11
57,4,6,5,6,1,0,11
58,4,5,5,6,1,0,10
59,4,5,4,5,1,0,10
60,3,6,4,6,1,0,10
61,4,6,4,6,1,0,11
62,3,5,4,6,2,0,10
63,3,5,4,6,2,0,10
64,4,5,4,5,2,0,11
65,5,5,4,5,2,0,12
66,5,5,4,5,2,0,12
67,6,4,4,5,1,0,11
68,6,4,4,5,1,0,11
69,5,4,4,5,1,0,10
70,6,3,5,5,1,0,10
71,6,3,5,4,0,0,9
72,4,4,5,4,0,0,8
73,4,4,5,4,0,0,8
74,4,2,5,4,0,0,6
75,4,4,5,4,0,0,8
76,3,4,4,4,0,0,7
77,3,4,4,4,0,0,7
78,3,4,4,4,0,0,7
79,3,3,4,4,0,0,6
80,3,3,3,4,0,0,6
81,3,3,3,4,0,0,6
82,3,3,3,3,0,0,6
83,3,3,3,3,0,0,6
84,3,4,3,3,0,0,7
85,3,4,3,3,0,0,7
86,3,4,3,3,0,0,7
87,3,4,3,3,0,0,7
88,3,4,3,3,0,0,7
89,3,4,3,4,0,0,7
90,3,4,3,4,0,0,7
91,3,4,3,4,0,0,7
92,3,4,3,4,0,0,7
93,3,4,3,4,0,0,7
94,3,3,3,4,1,0,7
95,3,3,3,4,1,0,7
96,4,3,3,4,1,0,8
97,4,3,3,4,1,0,8
98,4,2,3,3,1,0,7
99,3,3,3,3,0,0,6
100,3,3,3,3,0,0,6
101,3,4,3,3,0,0,7
102,3,4,3,3,0,0,7
103,3,4,3,3,0,0,7
104,2,4,3,3,0,0,6
105,2,4,3,3,0,0,6
106,2,4,3,4,0,0,6
107,2,4,3,4,0,0,6
108,3,4,3,4,0,0,7
109,4,3,3,4,0,0,7
110,3,3,3,4,0,0,6
111,3,3,3,4,0,0,6
112,4,3,3,4,0,0,7
113,4,3,3,3,0,0,7
114,3,3,3,3,0,0,6
115,3,4,3,3,0,0,7
116,3,3,3,3,0,0,6
117,3,3,3,3,0,0,6
118,3,3,3,3,0,0,6
119,3,4,3,3,0,0,7
120,3,2,3,3,0,0,5
121,3,2,3,3,0,0,5
122,3,3,3,3,0,0,6
123,2,4,3,3,0,0,6
124,3,3,3,3,0,0,6
125,4,3,3,3,0,0,7
126,3,4,3,3,0,0,7
127,3,4,3,3,0,0,7
128,3,3,3,3,0,0,6
129,3,3,3,3,0,0,6
130,1,4,3,3,0,0,5
131,1,5,3,3,1,0,7
132,1,6,3,4,1,0,8
133,1,6,3,4,1,0,8
134,1,6,2,4,1,0,8
135,1,6,1,4,1,0,8
136,1,5,1,5,1,0,7
137,1,5,1,5,1,0,7
138,1,5,1,5,1,0,7
139,1,4,1,5,1,0,6
140,2,4,1,5,1,0,7
141,4,4,1,5,0,0,8
142,4,4,1,5,1,0,9
143,3,4,1,4,1,0,8
144,3,5,1,4,0,0,8
145,3,5,2,4,1,0,9
146,3,4,3,4,1,0,8
147,3,4,3,4,1,0,8
148,3,5,3,4,1,0,9
149,3,5,3,4,1,0,9
150,1,5,3,4,1,0,7
151,3,5,3,5,1,0,9
152,2,6,3,5,1,0,9
153,2,6,3,5,1,0,9
154,2,6,3,5,2,0,10
155,2,5,2,5,1,0,8
156,2,4,2,5,1,0,7
157,1,5,2,5,2,0,8
158,1,5,2,5,2,0,8
159,1,5,2,5,2,0,8
160,1,6,2,5,2,0,9
161,1,6,1,5,2,0,9
162,2,6,1,5,2,0,10
163,3,5,1,5,2,0,10
164,3,4,1,5,2,0,9
165,3,4,1,5,2,0,9
166,4,3,1,5,1,0,8
167,4,3,2,5,2,0,9
168,4,3,3,4,1,0,8
169,4,3,3,4,1,0,8
170,4,4,3,4,0,0,8
171,5,3,4,3,0,0,8
172,4,4,4,3,0,0,8
173,5,3,4,3,0,0,8
174,4,2,4,3,0,0,6
175,4,2,4,3,0,0,6
176,4,2,4,3,0,0,6
177,0,1,4,3,0,0,1
178,6,4,4,3,4,0,14
179,1,0,4,2,0,0,1
180,0,0,4,2,0,0,0
181,1,1,4,2,1,0,3
182,1,2,2,2,0,0,3
183,2,2,1,2,0,0,4
184,2,2,1,2,0,0,4
185,2,1,1,1,1,0,4
186,1,1,1,1,1,0,3
187,4,2,1,1,1,0,7
188,2,1,1,1,2,0,5
189,3,2,2,1,2,0,7
190,2,1,2,1,1,0,4
191,0,2,2,2,0,0,2
192,3,1,2,1,0,0,4
